x,t.x,T.cal
2,30.43,38.86
1,1.71,38.86
0,0,38.86
0,0,38.86
0,0,38.86
7,29.43,38.86
1,5,38.86
0,0,38.86
2,35.71,38.86
0,0,38.86
5,24.43,38.86
0,0,38.86
0,0,38.86
0,0,38.86
0,0,38.86
0,0,38.86
10,34.14,38.86
1,4.86,38.86
3,28.29,38.71
0,0,38.71
2,14.57,38.71
0,0,38.71
0,0,38.71
0,0,38.71
0,0,38.71
1,1.57,38.71
0,0,38.71
1,29.43,38.71
0,0,38.71
1,5.86,38.71
0,0,38.71
0,0,38.71
0,0,38.71
0,0,38.71
1,27.14,38.71
0,0,38.71
0,0,38.71
1,2.14,38.71
0,0,38.71
0,0,38.71
0,0,38.57
0,0,38.57
0,0,38.57
0,0,38.57
1,24.43,38.57
12,34.43,38.57
0,0,38.57
0,0,38.57
1,1.57,38.57
0,0,38.57
0,0,38.57
0,0,38.57
0,0,38.57
0,0,38.57
0,0,38.57
2,33.14,38.57
1,4.29,38.57
0,0,38.43
1,38.43,38.43
0,0,38.43
4,29.43,38.43
0,0,38.43
1,16.14,38.43
0,0,38.43
0,0,38.43
0,0,38.43
2,21.14,38.43
0,0,38.43
0,0,38.43
3,29.29,38.43
0,0,38.43
0,0,38.43
1,5.86,38.43
0,0,38.43
1,5.14,38.43
0,0,38.43
0,0,38.43
0,0,38.29
3,16.86,38.29
0,0,38.29
0,0,38.29
1,7.43,38.29
0,0,38.29
0,0,38.29
0,0,38.29
7,26.43,38.29
0,0,38.29
10,35.43,38.29
0,0,38.29
0,0,38.29
1,33.29,38.29
6,37.43,38.29
0,0,38.29
0,0,38.29
0,0,38.29
0,0,38.29
0,0,38.29
2,31.86,38.29
4,37.57,38.29
1,23.86,38.29
5,36.14,38.14
0,0,38.14
0,0,38.14
0,0,38.14
1,24.14,38.14
1,6.14,38.14
0,0,38.14
0,0,38.14
1,0.29,38.14
0,0,38.14
1,0.29,38.14
0,0,38.14
0,0,38.14
1,24.14,38.14
0,0,38.14
1,5.29,38.14
0,0,38.14
0,0,38.14
0,0,38.14
0,0,38.14
1,3,38.14
0,0,38.14
0,0,38.14
0,0,38.14
1,7.14,38.14
0,0,38
0,0,38
0,0,38
4,7.57,38
3,26,38
0,0,38
1,24,38
2,28.43,38
0,0,38
1,23.43,38
2,7.43,38
0,0,38
2,16.86,38
1,2.14,38
1,15.71,38
0,0,38
5,6.86,38
2,28.57,38
7,34.14,38
2,35.71,38
0,0,38
4,29.29,38
13,37.86,38
0,0,38
4,33,38
4,35.29,38
0,0,38
0,0,38
1,2.86,38
0,0,38
1,6.43,38
29,37.71,38
0,0,37.86
3,24.71,37.86
0,0,37.86
0,0,37.86
1,2,37.86
0,0,37.86
10,37,37.86
0,0,37.86
0,0,37.86
13,28.14,37.86
0,0,37.86
0,0,37.86
1,37.43,37.86
0,0,37.86
0,0,37.86
0,0,37.86
0,0,37.86
0,0,37.86
0,0,37.71
0,0,37.71
6,32.86,37.71
8,36.14,37.71
0,0,37.71
0,0,37.71
0,0,37.71
1,5,37.71
0,0,37.71
4,36.14,37.71
0,0,37.71
2,7.86,37.71
3,21.14,37.71
3,6,37.71
0,0,37.71
0,0,37.71
0,0,37.71
0,0,37.71
0,0,37.71
6,27,37.71
0,0,37.71
1,1.57,37.71
0,0,37.71
0,0,37.71
2,14.29,37.57
0,0,37.57
2,7,37.57
2,31,37.57
0,0,37.57
0,0,37.57
1,18,37.57
0,0,37.57
1,0.29,37.57
0,0,37.57
0,0,37.57
7,17.86,37.57
0,0,37.57
0,0,37.57
0,0,37.57
2,29,37.57
0,0,37.57
4,24.29,37.57
0,0,37.43
1,14.86,37.43
1,27.43,37.43
0,0,37.43
0,0,37.43
0,0,37.43
0,0,37.43
0,0,37.43
2,11.43,37.43
0,0,37.43
1,2,37.43
1,1.86,37.43
2,33,37.43
0,0,37.43
3,36.57,37.43
0,0,37.43
